DATASET_MULTIBAR									
SEPARATOR TAB									
DATASET_LABEL	Taxa barchart2								
COLOR	#00FF00								
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend								
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0								
WIDTH	200								
DATA									
'Nycticebus_pygmaeus'	12.08554143	0	0.112554519	25.90864325	5.829386109	0.272006753	54.3696947	0.329456455	1.092716785
'Trachypithecus_hatinhensis'	24.9881328	0.220590288	1.15181638	67.61371569	0.491441655	1.174154637	4.153519672	0.19685589	0.009772987
'Trachypithecus_delacouri'	20.06726226	0.118637423	0.370355087	69.8712526	0.070150824	1.556729321	7.868240246	0.061897786	0.015474447
'Nomascus_siki'	25.41843193	0	0	49.39327371	3.731889743	0.074533187	21.34787384	0.010460798	0.023536796
'Testudo_hermanni'	0.806494402	0.206929485	0.0504059	81.70796413	3.488618878	0.193664774	9.051838489	0	4.494083939
'Circus_aeruginosus'	36.61590337	0	0	4.516182527	0	0	0.015201349	0	58.85271275
'Branta_leucopsis'	66.02203638	0	0.006007738	32.7241487	1.089202893	0	0.147790354	0	0.010813928
'Trichosurus_vulpecula'	0.307819765	0	0.380668062	94.24212774	0.010712985	0.170693559	1.779069684	3.103908811	0.004999393
'Macropus_giganteus'	7.720267424	0.059704626	4.775713995	53.97429421	20.4485064	0.029524266	12.43037194	0.162711509	0.398905634
'Dromaius_novaehollandiae'	80.7240715	0.003228618	0.049505483	16.07313897	0.47353071	0	2.632400263	0.044124452	0
'Gallus_gallus'	0.940502618	0	0	98.38674145	0.574469167	0.038975784	0.047448781	0	0.011862195
'Carassius_gibelio'	58.85080601	1.150506354	1.979483366	26.26260417	2.710033028	0.444016711	0.802729718	0.339027538	7.460793106
'Meleagris_gallopavo'	3.964332116	0	0.012215029	95.47821838	0.518583501	0	0.026650972	0	0
'Leuciscus_idus'	12.49038679	0.015079545	0.030159089	13.76611626	0.610721556	0.401115886	1.33906356	0.007539772	71.33981754
'Phocoena_phocoena'	3.725046961	0	0.004775701	45.11764144	0.11461683	0	0.668598172	0	50.3693209
'Balaenoptera_borealis'	0.792507205	0	0.166843622	29.5654482	0.12386875	0.898680419	68.27443248	0.02401537	0.154203954
'Anas_platyrhynchos'	3.604880454	0	0.002464876	94.81636677	0.681538082	0.007394627	0.244022677	0	0.643332512
'Manis_temminckii'	93.30775661	0	0.008956828	6.60715352	0.02537768	0	0.026870484	0	0.023884875
'Lissotriton_vulgaris'	58.61132661	1.137832945	2.611843807	0.78872511	3.89190587	0.607706232	32.35065943	0	0
'Natrix_natrix'	76.61354165	0.049291252	0.098582503	5.366771722	5.514645476	0	9.372806166	0.002987349	2.981373882
'Potos_flavus'	85.63102443	0.007472166	0.115818576	13.17342898	0.09713816	0	0.283942315	0	0.691175372
'Choloepus_hoffmanni'	2.669283	0	26.76758238	34.8371021	11.96598767	0.147635956	23.28910484	0.262879213	0.060424843
'Tamandua_mexicana'	36.10649021	0.00432887	2.682044464	33.61924492	0.209641013	0.059367367	19.60607279	0.00371046	7.709099904
'Bradypus_variegatus'	2.729765288	0.220952304	18.71466019	65.43402063	0.918960721	0.211913347	11.52065402	0.234008577	0.01506493
'Lepus_tolai'	0.242975271	0	0.003918956	85.31044663	2.909171663	0.154145602	11.34668391	0	0.032657967
'Gazella_subgutturosa'	0.701314966	0.054790232	2.058547276	77.02254227	0.250469631	0.335003131	18.77582968	0.784283031	0.017219787
'Strix_uralensis'	32.84674272	0	0	56.97738417	3.952766937	0	6.210597418	0	0.012508756
'Dendrocopos_major'	22.88487069	0	0	77.00192448	0.046311066	0	0.066893762	0	0
'Caprimulgus_europaeus'	54.66614359	0	0	45.28050216	0.014123186	0	0.025107885	0	0.014123186
'Capreolus_capreolus'	0.983577329	0	0.092117514	62.76669506	0.196121159	0.017829196	35.22652984	0.70029121	0.016838685
'Lutra_lutra'	1.211992079	0	0	96.88416514	0.026320407	0.022560349	1.791041035	0.051387461	0.012533527
'Tringa_glareola'	99.80035492	0	0.003327418	0.166370896	0	0	0.011091393	0	0.018855368
'Esox_lucius'	33.04948631	0.002817806	0.003381368	21.26034839	0.006199174	0	3.989450133	0.007889858	41.68042695
'Dama_dama'	0.541724465	0.061814023	0.486237862	74.4591273	0.197123458	0.310530286	23.66211579	0.261371103	0.019955708
'Ovis_aries'	0.457251843	0.026897167	0.627193036	69.53529031	0.204173951	0.284865453	28.12098835	0.743339895	0
'Porites_lobata'	98.0573977	0.124938058	0.09225384	0.026885405	0.018977933	0.025303911	1.244108933	0.36110789	0.049026327
'Pocillopora_elegans'	93.10608865	0.148577861	0.115616902	0.010648925	0.045638251	0.07555666	1.530909773	4.881771575	0.085191402
'Acropora_hyacinthus'	76.959403	1.587733447	3.006393688	0.064131216	0.250694755	0.272071827	11.06554988	6.617175506	0.176846688
'Stegastes_nigricans'	46.99744909	16.62415144	5.894980415	7.69874127	2.193019139	2.766277757	8.668227882	4.723372224	4.433780789
